number_of_rooms,district,structure_type,year_of_construction,floor,area,quality,price
3.0,5,2,2020.0,7.0,85.0,3,46000000.0
3.0,7,1,1967.0,1.0,81.0,3,32000000.0
3.0,6,2,2019.0,1.0,78.0,3,42000000.0
3.0,7,1,1990.0,5.0,70.0,3,31500000.0
2.0,2,3,1962.0,1.0,47.0,1,31000000.0
2.0,7,1,2020.0,1.0,51.8,3,28500000.0
2.0,1,2,2012.0,8.0,74.0,3,45000000.0
3.0,1,3,1974.0,5.0,62.0,3,35000000.0
2.0,3,2,2007.0,19.0,100.0,3,61000000.0
1.0,7,2,2022.0,1.0,41.0,3,28000000.0
4.0,1,1,1969.0,2.0,73.0,3,68000000.0
3.0,6,2,2020.0,4.0,76.0,3,44500000.0
1.0,7,2,2017.0,2.0,40.0,3,23500000.0
1.0,0,2,2017.0,3.0,40.0,3,23500000.0
5.0,3,1,1980.0,1.0,113.8,3,90000000.0
3.0,7,2,2017.0,3.0,75.8,3,41000000.0
3.0,1,2,2023.0,5.0,74.2,0,50000000.0
3.0,2,2,2005.0,3.0,80.0,3,61500000.0
2.0,3,2,2023.0,20.0,75.0,4,65000000.0
2.0,2,2,2021.0,1.0,60.0,3,37000000.0
4.0,3,2,2012.0,2.0,162.9,3,199900000.0
2.0,7,2,2023.0,1.0,50.5,0,8000000.0
3.0,3,3,1975.0,1.0,79.8,3,41000000.0
3.0,0,2,2016.0,7.0,75.0,1,33500000.0
2.0,1,2,2012.0,6.0,92.0,3,65000000.0
2.0,0,2,2021.0,3.0,58.5,3,39500000.0
2.0,6,2,2013.0,6.0,84.8,4,43457032.0
2.0,3,2,2023.0,16.0,56.1,0,36500000.0
2.0,7,2,2014.0,6.0,65.4,3,34700000.0
3.0,2,2,2023.0,8.0,91.35,4,51000000.0
2.0,3,2,2019.0,16.0,81.0,3,75000000.0
3.0,5,3,1976.0,4.0,62.0,2,26500000.0
3.0,0,1,1992.0,2.0,63.5,3,27000000.0
2.0,6,2,2023.0,9.0,60.28,0,26300000.0
2.0,0,2,2013.0,1.0,69.8,3,35500000.0
2.0,6,1,2021.0,3.0,42.0,3,22000000.0
2.0,5,2,2017.0,6.0,95.0,3,91000000.0
3.0,2,3,1971.0,2.0,57.2,3,31000000.0
3.0,7,2,2021.0,9.0,70.0,3,33000000.0
1.0,2,2,2024.0,8.0,34.79,4,18500000.0
2.0,6,2,2022.0,6.0,50.4,4,21300000.0
1.0,2,3,1975.0,2.0,15.0,3,9500000.0
3.0,3,3,1961.0,4.0,57.2,3,33000000.0
2.0,3,2,2019.0,7.0,52.0,3,48000000.0
1.0,1,2,2023.0,9.0,33.4,4,22700000.0
3.0,3,1,1962.0,3.0,73.0,3,56000000.0
2.0,1,3,1992.0,9.0,55.0,1,36000000.0
2.0,3,3,1980.0,5.0,54.0,3,38000000.0
2.0,5,1,1990.0,4.0,45.2,3,39000000.0
2.0,6,2,2013.0,2.0,55.0,3,41000000.0
2.0,3,2,2022.0,13.0,64.0,0,42000000.0
3.0,3,2,2023.0,9.0,80.0,4,70000000.0
2.0,6,2,2023.0,1.0,68.7,0,30000000.0
2.0,2,3,1965.0,1.0,46.0,3,28000000.0
2.0,6,2,2010.0,2.0,65.0,3,32800000.0
2.0,3,2,2023.0,5.0,76.0,2,80800000.0
4.0,7,1,1979.0,2.0,80.0,3,36000000.0
2.0,1,3,1978.0,5.0,45.0,3,32700000.0
2.0,6,2,2022.0,9.0,51.0,3,28000000.0
2.0,3,2,2022.0,8.0,72.0,3,66500000.0
1.0,1,3,1977.0,1.0,33.0,3,29500000.0
2.0,1,2,2024.0,5.0,72.9,4,30399300.0
1.0,3,3,1973.0,1.0,31.0,3,23000000.0
2.0,3,1,1986.0,4.0,41.7,3,37500000.0
2.0,3,2,2023.0,6.0,63.9,4,56000000.0
2.0,4,2,2008.0,6.0,64.0,3,26000000.0
3.0,2,2,2022.0,6.0,80.0,0,67000000.0
2.0,6,2,2022.0,2.0,57.0,4,21000000.0
